winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes


Minimax,Greedy,10,lru,True,True,5,"[13.8625, 46.5086, 87.7201, 161.3857, 192.7501]",100.45,"[64501, 205012, 409117, 548583, 562375]",357917.6
Minimax,Minimax,7,vertical,True,True,4,"[14.2816, 36.3644, 66.115, 47.1075]",40.97,"[48406, 122903, 225136, 162429]",139718.5
Minimax,Greedy,10,horizontal,True,True,3,"[1.3768, 2.2049, 4.1978, 5.2201, 3.397]",3.28,"[4559, 7241, 13770, 17372, 12192]",11026.8
Greedy,Greedy,11,vertical,True,True,2,"[0.567, 0.226, 0.5592, 0.355, 0.6244]",0.47,"[1896, 767, 1847, 1242, 2054]",1561.2
Minimax,Greedy,4,horizontal,True,True,5,"[69.8313, 54.891]",62.36,"[198252, 170363]",184307.5
Minimax,Greedy,4,horizontal,True,True,4,"[25.7186, 18.8671]",22.29,"[143416, 79376]",111396.0
Greedy,Greedy,3,horizontal,True,True,3,[0.9106],0.91,[3145],3145.0
Minimax,Greedy,10,horizontal,True,True,2,"[0.1104, 0.3272, 0.493, 0.408, 0.238]",0.32,"[398, 1088, 1643, 1359, 829]",1063.4
Minimax,Minimax,11,horizontal,True,True,5,"[45.9471, 99.0576, 105.141, 133.2989, 120.6061, 82.8772]",97.82,"[116504, 272674, 306108, 419375, 392388, 276224]",297212.17
Greedy,Greedy,9,vertical,True,True,4,"[16.0924, 41.8761, 78.2213, 68.775]",51.24,"[57539, 139876, 261431, 230216]",172265.5
Minimax,Greedy,10,vertical,True,True,3,"[0.9158, 2.2414, 3.8478, 5.9534, 2.9302]",3.18,"[3034, 7175, 12342, 19163, 9870]",10316.8
Minimax,Minimax,9,horizontal,True,True,2,"[0.127, 0.273, 0.4713, 0.3539, 0.358]",0.32,"[415, 891, 1531, 1216, 1183]",1047.2
Minimax,Minimax,11,vertical,True,True,5,"[43.8016, 107.1966, 79.2704, 99.3676, 90.7202, 40.0835]",76.74,"[112630, 290776, 222968, 301197, 301093, 153023]",230281.17
Minimax,Minimax,11,vertical,True,True,4,"[35.4659, 35.9942, 51.7646, 74.2926, 62.6574, 41.3333]",50.25,"[121949, 121231, 230210, 250740, 217315, 144784]",181038.17
Minimax,Greedy,10,lru,True,True,3,"[0.8845, 2.13, 3.649, 5.6144, 5.1027]",3.48,"[2962, 6966, 12000, 18925, 16541]",11478.8
Minimax,Greedy,8,lru,True,True,2,"[0.227, 0.275, 0.359, 0.471]",0.33,"[755, 912, 1211, 1597]",1118.75
Minimax,Greedy,10,vertical,True,True,5,"[33.0538, 79.743, 85.072, 75.4697, 43.9019]",63.45,"[93530, 207306, 229596, 230444, 169937]",186162.6
Minimax,Greedy,4,horizontal,True,True,4,"[18.4205, 37.1965]",27.81,"[86884, 127511]",107197.5
Minimax,Minimax,5,horizontal,True,True,3,"[2.0788, 3.5878, 2.14]",2.6,"[6929, 12171, 7526]",8875.33
Minimax,Minimax,7,vertical,True,True,2,"[0.1084, 0.137, 0.256, 0.339]",0.21,"[352, 449, 849, 1116]",691.5
